Emp ID,First Name,Middle Initial,Last Name,Gender,Date of Birth,Age,Date of Joining,Experience,Salary
677509,Lois,H,Walker,F,3/29/1981,36.36,11/24/2003,13.68,168251
940761,Brenda,S,Robinson,F,7/31/1970,47.02,7/27/2008,9.01,51063
428945,Joe,W,Robinson,M,6/16/1963,54.15,8/03/2016,0.98,
408351,Diane,I,Evans,F,12/04/1977,39.67,4/16/1999,18.3,180294
193819,Benjamin,R,Russell,M,4/17/1977,40.31,7/25/2013,4.01,117642
499687,Patrick,F,Bailey,M,9/27/1982,34.86,7/22/2005,12.02,72305
539712,Nancy,T,Baker,F,6/13/1995,22.14,9/14/2016,0.87,98189
380086,Carol,V,Murphy,F,6/30/1958,59.12,1/28/1983,34.52,60918
477616,Frances,B,Young,F,6/09/1959,58.18,4/27/1994,23.27,150155
162402,Diana,T,Peterson,F,11/13/1987,29.73,2/17/2014,3.44,43010
231469,Ralph,L,Flores,M,2/05/1975,42.5,4/14/2009,8.29,118457
153989,Jack,C,Alexander,M,5/19/1995,22.21,1/05/2017,0.56,82965
386158,Melissa,Q,King,F,2/24/1972,45.45,11/24/2015,1.68,166892
301576,Wayne,G,Watson,M,6/26/1996,21.1,7/19/2017,0.02,92758
441771,Cheryl,O,Scott,F,2/23/1958,59.47,11/26/1990,26.69,
528509,Paula,G,Diaz,F,8/22/1966,50.97,8/22/1994,22.95,152654
912990,Joshua,T,Stewart,M,5/18/1970,47.23,9/02/2002,14.91,184896
214352,Theresa,G,Lee,F,12/05/1992,24.66,1/19/2015,2.52,197537
890290,Julia,S,Scott,F,7/15/1959,58.08,2/23/2005,12.43,141518
622406,Thomas,Q,Lewis,M,10/04/1967,49.85,6/07/1998,19.15,73862
